Video ID,Título,Publicado,Miniatura,Duración,Vistas,Likes,Comentarios
ivFVhlNBCp0,💣 ¡GASTÉ más de 10 MIL PUNTOS DE PRÓRROGA! El resultado fue INCREÍBLE  FC Mobile,2025-06-25T12:42:48Z,https://i.ytimg.com/vi/ivFVhlNBCp0/mqdefault.jpg,PT12M33S,2450,55,14
v1SgNrDWVTY,🔴En Vivo  🔴 FC MOBILE de CHILL,2025-06-19T18:47:20Z,https://i.ytimg.com/vi/v1SgNrDWVTY/mqdefault.jpg,PT1H39M48S,470,11,0
PAQrV9u9hR0,🔴En Vivo  🔴 FC MOBILE de CHILL,2025-06-19T18:46:54Z,https://i.ytimg.com/vi/PAQrV9u9hR0/mqdefault.jpg,PT1H37M3S,179,3,0
g5-YmOViV80,🔴En Vivo  🔴 FC MOBILE de CHILL,2025-06-18T18:21:47Z,https://i.ytimg.com/vi/g5-YmOViV80/mqdefault.jpg,PT1H5M20S,451,4,0
HWMTQV2x0MI,🔴En Vivo  🔴 FC MOBILE de CHILL,2025-06-18T17:53:13Z,https://i.ytimg.com/vi/HWMTQV2x0MI/mqdefault.jpg,PT1H3M45S,63,3,0
h-cyy6bTX9U,🔴En Vivo  🔴CALIFICANDO PLATILLAS EN EL FIN DE LOS TOTS FC MOBILE,2025-06-17T18:04:27Z,https://i.ytimg.com/vi/h-cyy6bTX9U/mqdefault.jpg,PT1H37M56S,111,12,0
4jbnxkkgLhw,🔴En Vivo  🔴CALIFICANDO PLATILLAS EN EL FIN DE LOS TOTS FC MOBILE,2025-06-17T18:00:24Z,https://i.ytimg.com/vi/4jbnxkkgLhw/mqdefault.jpg,PT1H39M3S,504,13,0
Waec0pT_hjs,🔥 ¡MEJORO el GRL de mi MEJOR EQUIPO! Ahora es una MÁQUINA en FC Mobile 😱,2025-06-13T21:40:34Z,https://i.ytimg.com/vi/Waec0pT_hjs/mqdefault.jpg,PT14M47S,32,3,3
ckoy6kv66gg,🔴En Vivo  🔴CALIFICANDO PLATILLAS EN EL FIN DE LOS TOTS FC MOBILE,2025-06-13T17:55:28Z,https://i.ytimg.com/vi/ckoy6kv66gg/mqdefault.jpg,PT1H8M57S,152,3,0
Ua6i9M3BLiU,🔴En Vivo  🔴CALIFICANDO PLATILLAS EN EL FIN DE LOS TOTS FC MOBILE,2025-06-13T17:52:09Z,https://i.ytimg.com/vi/Ua6i9M3BLiU/mqdefault.jpg,PT1H8M31S,28,2,0
